site,domain
google,google.com
yandex,yandex.ru
youtube,youtube.com
vk,vk.com
mailru,mail.ru
dzen,dzen.ru
wikipedia,wikipedia.org
ozon,ozon.ru
ya,ya.ru
rutube,rutube.ru
avito,avito.ru
wildberries,wildberries.ru
telegram,telegram.org
pornhub,pornhub.com
twitch,twitch.tv
porno365,porno365.bike
whatsapp,whatsapp.com
gosuslugi,gosuslugi.ru
vkvideo,vkvideo.ru
dns,dns-shop.ru
rbc,rbc.ru
msn,msn.com
ria,ria.ru
sportbox,sportbox.ru
mangalib,mangalib.me
drive2,drive2.ru
lenta,lenta.ru
ficbook,ficbook.net
hh,hh.ru
pornhub-org,pornhub.org
sex-studentki,sex-studentki.pub
animedia,amedia.lol
pinterest,pinterest.com
instagram,instagram.com
aliexpress,aliexpress.ru
knigavuhe,knigavuhe.org
drom,drom.ru
duckduckgo,duckduckgo.com
rambler,rambler.ru
mos,mos.ru
yandex-com,yandex.com
tiktok,tiktok.com
2gis,2gis.ru
tbank,tbank.ru
anilib,anilib.me
sports,sports.ru
kp,kp.ru
zagonkomv,zagonkomv.gb.net
championat,championat.com
russianfood,russianfood.com
author-today,author.today
mangabuff,mangabuff.ru
weather,weather.com
vseinstrumenti,vseinstrumenti.ru
yummy-anime,yummy-anime.ru
chatgpt,chatgpt.com
mts,mts.ru
deepseek,deepseek.com
ixbt,ixbt.com
nspk,nspk.ru
reddit,reddit.com
readmanga,readmanga.org
xvideos,xvideos.com
yaplakal,yaplakal.com
consultant,consultant.ru
muzofond,muzofond.fm
ukdevilz,ukdevilz.com
rustore,rustore.ru
habr,habr.com
github,github.com
e1,e1.ru
microsoft,microsoft.com
livejournal,livejournal.com
ivi,ivi.ru
doramalive,doramalive.news
sberbank,sberbank.ru
gazeta,gazeta.ru
4pda,4pda.to
gdz,gdz.ru
vtb,vtb.ru
facebook,facebook.com
alfabank,alfabank.ru
nalog,nalog.ru
multfan,mult-fan.tv
woman,woman.ru
banki,banki.ru
irecommend,irecommend.ru
auto,auto.ru
mk,mk.ru
anime-bit,anime-bit.online
sberbank-com,sberbank.com
tinkoff,tinkoff.ru
azbyka,azbyka.ru
pikabu,pikabu.ru
gismeteo,gismeteo.ru
kinopoisk,kinopoisk.ru
ok,ok.ru
pochta,pochta.ru
fontanka,fontanka.ru
cdek,cdek.ru
litres,litres.ru